Reaction,Integrated_Rate
"(n,2n)",0.00026258606475024757
"(n,gamma)",6.821899336305895e-06
"(n,p)",2.7221917507935626e-06
"(n,3n)",2.634823916649792e-06
"(n,np)",7.545716600843953e-07
"(n,a)",7.019185526862937e-07
"(n,d)",3.052527806390059e-07
"(n,na)",9.034227789431049e-08
"(n,2na)",3.211522646422673e-08
"(n,t)",2.0554823275640963e-08
"(n,pa)",1.399711939969689e-10
"(n,2p)",1.2556628922230702e-10
"(n,nd)",3.806010581354855e-11
"(n,2np)",1.831333558958479e-11
"(n,2a)",2.8059240250483397e-12
"(n,3He)",1.5977785380737718e-12
"(n,nt)",6.306668795388644e-13
"(n,n2a)",2.613499249874034e-13
"(n,da)",2.2159166180718686e-14
"(n,npa)",8.680437069148602e-15
"(n,pd)",2.3802204091881183e-15
"(n,n2p)",7.847459439924366e-16
"(n,2n2a)",1.8731014914042043e-16
"(n,pt)",1.6847924548064782e-19
"(n,3Hea)",1.0242171642036485e-20
"(n,n3He)",9.764521078449367e-22
"(n,ta)",1.513119966425559e-23
"(n,3na)",4.0493319787707344e-35
"(n,3a)",2.4395052538602183e-37
"(n,n3a)",2.6408626279376775e-40
"(n,d2a)",0.0
"(n,4n)",0.0
"(n,3p)",0.0
"(n,p3He)",0.0
"(n,2nd)",0.0
